,epsilon,min_samples,nb_clusters,silhouette w/noise,silhouette w/o noise,noise
0,1.5696123057604773e-05,2,3209,-0.22636401467018125,0.417425810958498,0.4541294692925396
1,1.5696123057604773e-05,4,897,-0.5872553314696275,0.3386686980036094,0.6911309497106456
2,1.5696123057604773e-05,6,427,-0.7149489173409683,0.31409601481024446,0.7837243730653627
3,1.5696123057604773e-05,10,168,-0.8269461094531997,0.2871542551800258,0.8710690413171235
4,1.9620153822005963e-05,2,3193,-0.23245578385481647,0.37984414338608513,0.443676820241353
5,1.9620153822005963e-05,4,914,-0.5795967424257044,0.3090535299680763,0.6783006594589744
6,1.9620153822005963e-05,6,444,-0.7048614471707668,0.2860312001807996,0.7711632497420483
7,1.9620153822005963e-05,10,179,-0.8132639079000181,0.2766798511463538,0.8585527791485352
8,2.197457228064668e-05,2,3201,-0.2336722437139579,0.3697052022392359,0.4404468171010722
9,2.197457228064668e-05,4,923,-0.577452813822979,0.3048009601177319,0.6756089901754071
10,2.197457228064668e-05,6,448,-0.7031828213373555,0.2839390013286484,0.7694585258624557
11,2.197457228064668e-05,10,183,-0.8115788570521907,0.2714698577008562,0.8566237494953121
12,2.3544184586407157e-05,2,3203,-0.236088997792369,0.35939185196589607,0.43797945359113544
13,2.3544184586407157e-05,4,926,-0.5765501785583589,0.2978927615449474,0.6731864878201965
14,2.3544184586407157e-05,6,451,-0.7012101740584401,0.28028716851608415,0.7672603292808757
15,2.3544184586407157e-05,10,184,-0.811057531787284,0.2597462870096009,0.8548741644609932
16,2.746821535080835e-05,2,2582,-0.42218277825859646,-0.08333900379630892,0.3696559149432506
17,2.746821535080835e-05,4,831,-0.6146880911053235,-0.1393920867886419,0.5522408146785698
18,2.746821535080835e-05,6,399,-0.6913819946571719,-0.1267476089646301,0.6467632676865103
19,2.746821535080835e-05,10,181,-0.7692544491806402,-0.13395596879551,0.7355434928895069
20,3.1392246115209545e-05,2,2242,-0.34533870087516894,-0.00321462205875373,0.3432326948095644
21,3.1392246115209545e-05,4,687,-0.4891123272851458,0.036994018496381696,0.5073796599524472
22,3.1392246115209545e-05,6,334,-0.5568218043930173,0.0897115605183805,0.5934233547171505
23,3.1392246115209545e-05,10,147,-0.5735148695211026,0.3578438963399005,0.6870485846305684
