,epsilon,epsilon (m),min_samples,nb_clusters,silhouette w/noise,silhouette w/o noise,noise
0,7.848061528802386e-07,50.0,2,3402,-0.0009093025900124025,0.9987491584415265,0.5032075725629178
1,7.848061528802386e-07,50.0,4,758,-0.5233507209426793,0.9986620531333835,0.7730025570858194
2,7.848061528802386e-07,50.0,6,315,-0.6490779014179522,0.9996517552470817,0.8592256964694271
3,7.848061528802386e-07,50.0,10,102,-0.64272181675082,0.999716960106695,0.9274146516531335
4,1.5696123057604772e-06,100.0,2,3407,0.00518274795908683,0.9972871596242301,0.4997981248037324
5,1.5696123057604772e-06,100.0,4,768,-0.515463415484386,0.99820791157811,0.7690099143151945
6,1.5696123057604772e-06,100.0,6,323,-0.654083412341487,0.9988815977428497,0.8556816652460635
7,1.5696123057604772e-06,100.0,10,104,-0.6400905864612677,0.9993681463534624,0.926113678166076
8,3.1392246115209545e-06,200.0,2,3380,0.016415237593079043,0.9932461080147894,0.4931586739042663
9,3.1392246115209545e-06,200.0,4,800,-0.4913775568287145,0.9919083385841023,0.7561796240635233
10,3.1392246115209545e-06,200.0,6,346,-0.6339872270588884,0.9923653871355405,0.8447355434928895
11,3.1392246115209545e-06,200.0,10,116,-0.7002765245474836,0.9954949262793206,0.9188461711004441
12,7.848061528802386e-06,500.00000000000006,2,3311,0.03758947921168058,0.963312113805791,0.47463101700237764
13,7.848061528802386e-06,500.00000000000006,4,852,-0.4422168629897084,0.9500389320053377,0.7257189000044861
14,7.848061528802386e-06,500.00000000000006,6,390,-0.591024360846453,0.9479528299211504,0.8176842671930376
15,7.848061528802386e-06,500.00000000000006,10,137,-0.6731163441198968,0.9478312303183261,0.9001839307343771
16,1.1772092293203579e-05,750.0,2,3227,0.039822594536992786,0.9156703413693772,0.4603203086447445
17,1.1772092293203579e-05,750.0,4,874,-0.41659307596495654,0.8772280733854033,0.7013144318334754
18,1.1772092293203579e-05,750.0,6,405,-0.5638063756350536,0.8571019147942303,0.7931900767125746
19,1.1772092293203579e-05,750.0,10,161,-0.642229261816797,0.8397250767900668,0.87492710062357
20,1.5696123057604773e-05,1000.0000000000001,2,3209,0.04387378873474564,0.9015967377155517,0.4541294692925396
21,1.5696123057604773e-05,1000.0000000000001,4,897,-0.4023773913540373,0.8614931352622376,0.6911309497106456
22,1.5696123057604773e-05,1000.0000000000001,6,427,-0.5491153330791704,0.8454231664195532,0.7837243730653627
23,1.5696123057604773e-05,1000.0000000000001,10,168,-0.6526563199843226,0.8347832947364215,0.8710690413171235
