,min_cluster_size,nb_clusters,silhouette w/noise,silhouette w/o noise,noise
0,5,1714,0.41307186035939447,0.7485586580736499,0.1927235207034229
1,10,698,0.39836711292526455,0.7617660513536003,0.2081557579292091
2,20,325,0.3546103530418846,0.7584816621924996,0.23341258804001616
3,50,115,0.36480198319731194,0.8141192901670453,0.25700955542595666
4,100,56,0.2360311677073014,0.823303492942376,0.34018213628818805
