,min_cluster_size,nb_clusters,silhouette w/noise,silhouette w/o noise,noise
0,5,759,0.39578101692446227,0.7655267437957576,0.21111659414113318
1,10,698,0.39836711292526455,0.7617660513536003,0.2081557579292091
2,20,375,0.3865620785046277,0.703432091608663,0.18882060024225022
3,50,142,0.45634319982564925,0.726398894535875,0.16257682472746848
4,100,75,0.4033358759383264,0.7255314416546684,0.19819658158000986
