,min_cluster_size,nb_clusters,silhouette w/noise,silhouette w/o noise,noise
0,5,142,0.36007502764733784,0.8246567332907784,0.2619442824458302
1,10,132,0.3681299629167482,0.8235087186003497,0.25759275043739627
2,20,125,0.36722221089874757,0.8226768089090978,0.25853483468664484
3,50,115,0.36480198319731194,0.8141192901670453,0.25700955542595666
4,100,62,0.2430233128093312,0.7135938077638543,0.29070028262527475
